,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,otsu_ssd,otsu_eng,gaus_ssd,gaus_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\3\\1.jpg'],30.31,50,18,,31,0,11,,2.0,331.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,50,1,,106,135,138,1308,1305.0,138.0
0,['.\\sipaimages\\3\\11.jpg'],20.59,50,1,,1,5,,,,19.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,50,,,106,1305,10,1305,13.05,13.09
0,['.\\sipaimages\\3\\13.jpg'],30.31,50,,,31,3,1,3,,30.1
0,['.\\sipaimages\\3\\14.jpg'],13.04,50,,,134,134,1304,1304,130.0,13.04
0,['.\\sipaimages\\3\\15.jpg'],30.24,50,12,,,,114,0,,11.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,50,1411,,144,1,14,,13.0,1304.0
0,['.\\sipaimages\\3\\17.jpg'],13.03,50,8.0,['.'],143,1303,14,1303,13.03,13.08
0,['.\\sipaimages\\3\\18.jpg'],30.23,50,,,3.2,,30.8,,3.0,1.2
0,['.\\sipaimages\\3\\19.jpg'],3.76,50,,,11,36,10,30,376.0,11.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,50,1,,1,39,231,2,1.0,31.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,50,,,121,,144,0,,1.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,50,,,1,,11,,,1.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,50,,,144,1,119,1,,6.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,50,4,['.'],11.2,0.2,11.13,0.3,0.2,4.0
0,['.\\sipaimages\\3\\24.jpg'],30.24,50,,,1124,0,1124,3,2.0,1144.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,50,1.4,,9,19,4,4,49.0,9.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,50,,,1,1,18,1,1.0,318.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,50,,,144,1304,1344,13,1304.0,13.04
0,['.\\sipaimages\\3\\4.jpg'],13.05,50,11,,146,,,,1305.0,134.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,50,['.'],,101,2,,,,3.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,50,,,,,184,,134.0,144.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,50,,,1.4,1304,114,1304,1304.0,134.0
0,['.\\sipaimages\\3\\8.jpg'],30.31,50,7,,931,,10,,,11.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,50,,,14,10,134,1304,1304.0,14.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,51,71,,931,,,,,331.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,51,16.0,,146,1345,,,1305.0,1346.0
0,['.\\sipaimages\\3\\11.jpg'],20.59,51,6,,9,,,,,19.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,51,65,,14,135,106,135,1305.0,134.0
0,['.\\sipaimages\\3\\13.jpg'],30.31,51,,,1,3,1,,304.0,111.0
0,['.\\sipaimages\\3\\14.jpg'],13.04,51,7418,,134,1304,184,1304,1304.0,13.4
0,['.\\sipaimages\\3\\15.jpg'],30.24,51,14,,4,2,,,0.0,1.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,51,1,,14,130,104,1304,130.0,1304.0
0,['.\\sipaimages\\3\\17.jpg'],13.03,51,8.0,,13,1303,13,1303,1303.0,13.08
0,['.\\sipaimages\\3\\18.jpg'],30.23,51,,,31.2,3,31.2,,3.0,1.1
0,['.\\sipaimages\\3\\19.jpg'],3.76,51,,,116,378,11,376,376.0,17.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,51,7,,1,,,,,111.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,51,,,121,,141,3,,1.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,51,,,1,4,111,,,1.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,51,,,14,1,11,3,3.0,1.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,51,1.5,,11.2,2,11.3,3,2.0,11.22
0,['.\\sipaimages\\3\\24.jpg'],30.24,51,,,114,0,114,,,114.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,51,2,,19,19,11,4,,99.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,51,,,,,18,30,,78.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,51,12,,134,1304,1444,130,1304.0,13.04
0,['.\\sipaimages\\3\\4.jpg'],13.05,51,11,,,,,,5.0,1306.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,51,6,,91,,,,,111.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,51,,,14,1,184,,130.0,1344.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,51,,,144,1304,134,1304,1304.0,14.0
0,['.\\sipaimages\\3\\8.jpg'],30.31,51,7,,31,,31,,3.0,31.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,51,,,14,1304,134,1304,1304.0,1.4
0,['.\\sipaimages\\3\\1.jpg'],30.31,52,7,,31,0,111,,,11.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,52,14,,16,1305,1346,1305,1305.0,146.0
0,['.\\sipaimages\\3\\11.jpg'],20.59,52,7,,9,28,,,,1194.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,52,6,,10,1305,14,1305,1305.0,1306.0
0,['.\\sipaimages\\3\\13.jpg'],30.31,52,,,31,1,31,,0.0,30.1
0,['.\\sipaimages\\3\\14.jpg'],13.04,52,6.4,,1.4,1304,1304,130,1304.0,13.04
0,['.\\sipaimages\\3\\15.jpg'],30.24,52,114,,0,0,4,0,0.0,10.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,52,,,14,1304,104,130,1304.0,13.4
0,['.\\sipaimages\\3\\17.jpg'],13.03,52,6,['.'],113,1303,113,1303,13.03,13.08
