image_file,thresh_ssd_equal_count,thresh_ssd_not_equal_count,thresh_eng_equal_count,thresh_eng_not_equal_count,closing_ssd_equal_count,closing_ssd_not_equal_count,closing_eng_equal_count,closing_eng_not_equal_count,otsu_ssd_equal_count,otsu_ssd_not_equal_count,otsu_eng_equal_count,otsu_eng_not_equal_count,gaus_ssd_equal_count,gaus_ssd_not_equal_count,gaus_eng_equal_count,gaus_eng_not_equal_count
.\\sipaimages\\3\\1.jpg,18,582,0,600,0,600,3,597,2,598,1,599,2,598,1,599
.\\sipaimages\\3\\10.jpg,7,593,127,473,0,600,222,378,11,589,0,600,11,589,0,600
.\\sipaimages\\3\\11.jpg,1,599,0,600,0,600,0,600,0,600,1,599,0,600,1,599
.\\sipaimages\\3\\12.jpg,455,145,576,24,0,600,212,388,0,600,66,534,0,600,66,534
.\\sipaimages\\3\\13.jpg,422,178,512,88,0,600,4,596,1,599,133,467,1,599,133,467
.\\sipaimages\\3\\14.jpg,470,130,463,137,173,427,77,523,150,450,256,344,150,450,256,344
.\\sipaimages\\3\\15.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\16.jpg,581,19,582,18,84,516,86,514,435,165,439,161,435,165,439,161
.\\sipaimages\\3\\17.jpg,128,472,584,16,1,599,205,395,98,502,329,271,98,502,329,271
.\\sipaimages\\3\\18.jpg,2,598,323,277,0,600,295,305,1,599,0,600,1,599,0,600
.\\sipaimages\\3\\19.jpg,1,599,0,600,57,543,0,600,1,599,0,600,1,599,0,600
.\\sipaimages\\3\\2.jpg,0,600,0,600,0,600,3,597,5,595,0,600,5,595,0,600
.\\sipaimages\\3\\20.jpg,0,600,0,600,0,600,0,600,0,600,1,599,0,600,1,599
.\\sipaimages\\3\\21.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\22.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\23.jpg,0,600,0,600,0,600,108,492,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\24.jpg,0,600,0,600,0,600,1,599,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\25.jpg,1,599,0,600,0,600,0,600,1,599,0,600,1,599,0,600
.\\sipaimages\\3\\26.jpg,0,600,0,600,0,600,0,600,0,600,1,599,0,600,1,599
.\\sipaimages\\3\\3.jpg,591,9,589,11,436,164,0,600,157,443,12,588,157,443,12,588
.\\sipaimages\\3\\4.jpg,9,591,10,590,0,600,0,600,3,597,48,552,3,597,48,552
.\\sipaimages\\3\\5.jpg,6,594,0,600,1,599,5,595,1,599,7,593,1,599,7,593
.\\sipaimages\\3\\6.jpg,160,440,163,437,0,600,10,590,0,600,2,598,0,600,2,598
.\\sipaimages\\3\\7.jpg,39,561,214,386,233,367,358,242,2,598,78,522,2,598,78,522
.\\sipaimages\\3\\8.jpg,1,599,0,600,0,600,3,597,2,598,8,592,2,598,8,592
.\\sipaimages\\3\\9.jpg,62,538,277,323,70,530,6,594,231,369,1,599,231,369,1,599
