filename,digit
iWplto07_0,0
CfpRPZxp_0,0
GpRxw9Tv_0,0
YsXoaD7w_0,0
XYwuWjpI_0,0
tLDX4wjG_0,0
uqDbpF9k_0,0
gT4xuoxM_0,0
OvHM0XoQ_0,0
B4oYjuHd_0,0
oIlb9y0s_0,0
oqW9Hh1y_0,0
lIBV07UC_0,0
7LAi4vwP_0,0
SDkYZyfd_0,0
So33yBPb_0,0
TTFPwOm1_0,0
c4uAsK8l_0,0
wjJAvQGP_0,0
XsPQA4vR_0,0
dZjIxOyZ_0,0
Hx8YWDDQ_0,0
CWiAuGR1_0,0
LBWVHJ85_0,0
GYYbUFu0_0,0
vRdInraB_0,0
vR2kREpf_0,0
j9y89ZkN_0,0
3j58ZleW_0,0
mzpNMyse_0,0
auvtbxBo_0,0
azZwNq5P_0,0
nvh58Wsh_0,0
B3ifRbCa_0,0
5YICH2xg_0,0
nM4a2qnD_0,0
4zYj7Nk1_0,0
fXnSmMXi_0,0
pmOU8dBx_0,0
vfEjbQ6V_0,0
f15V8gCt_0,0
j0agL38u_0,0
b3UFFYoP_0,0
A6xcAwJs_0,0
CMf1p55c_0,0
H160j4hF_0,0
AxKJv3Qd_0,0
42FrFHoC_0,0
pqP3h9zn_0,0
K9v5oHhC_0,0
jzcOCBtW_0,0
g5gfTc1q_0,0
pwHMKufg_0,0
t7fI7DQ7_0,0
yVsdbJD4_0,0
iovyEKNv_0,0
TGXN5lbN_0,0
l29aIUGp_0,0
zTx8HroO_0,0
cH4kEaE2_0,0
GvNmJW2F_0,0
0CVorl1L_0,0
xpGVtHwq_0,0
KswE0WeM_0,0
LpKuroZX_0,0
U166gbXX_0,0
eGuLGD4Z_0,0
tNG0E0Ql_0,0
QBYfwoZy_0,0
Wr0WucUa_0,0
fbBRMz7o_0,0
6mwWLl1M_0,0
2fx4UMlD_0,0
kI4oYGfh_0,0
dIQarzkQ_0,0
CRNIr0Gs_0,0
eUChHvmN_0,0
cfEqMx4N_0,0
LHiPt2lB_0,0
SujdiUqV_0,0
dUEBA5vl_0,0
3y1CkC3P_0,0
Ru98Xihq_0,0
oSZBaK0P_0,0
zepuBuYE_0,0
WgEZziXU_0,0
9BpJ3k5G_0,0
AgoL9L3u_0,0
f1VNYt7l_0,0
jpqCfcTf_0,0
8dZpnOTq_0,0
7Ue8BPm4_0,0
n1xUF1h9_0,0
8qPOCNxl_0,0
8ugP1uPL_0,0
XXcarfw6_0,0
vZsaigYu_0,0
J2dPNkKN_0,0
UvBBsrf6_0,0
9L94Kye0_0,0
PZwGb0v7_0,0
mNxh3pcd_0,0
1ct8cTzA_0,0
BoKQbOAL_0,0
TRQBDVAw_0,0
wQ4ufjwZ_0,0
crt9VPla_0,0
Iq3fzw2L_0,0
Tdwj1esb_0,0
crvL1lic_0,0
dC68DGMi_0,0
sFla0scE_0,0
MZZowMTm_0,0
oGHf04GW_0,0
wtzkE6BH_0,0
yokF3dcD_0,0
GDVSbQcP_0,0
hNdqet0o_0,0
GosVq3mF_0,0
COdiCEgp_0,0
yDQhquPF_0,0
c1t4DZfh_0,0
EArDDY7K_0,0
rSRCcTPY_0,0
davv3BQ0_0,0
d6c6yK3A_0,0
PmCF816p_0,0
c0av1Wzj_0,0
7W3v8OEE_0,0
ZkmU71Mk_0,0
RDH4Nlh2_0,0
XmUHZqYD_0,0
9v4uphR5_0,0
VdrczqDS_0,0
Q8IJaMNp_0,0
WOs400Oy_0,0
tIRHg6bF_0,0
iNhh4KDk_0,0
rmcH1K0F_0,0
hOtt2XIe_0,0
MCkWxEMS_0,0
nFsansPC_0,0
ztUrIlU4_0,0
v74geGOT_0,0
L8w00pLO_0,0
7lTvPv1Q_0,0
VnKAWU0H_0,0
WBJnXpN1_0,0
UnwOjPWi_0,0
cariq8m1_0,0
wkn9BQly_0,0
h2sGhNAD_0,0
hJty1Kr5_0,0
rsEsFqIh_0,0
t9gT7gvl_0,0
fyWBDUxh_0,0
EWICtSNu_0,0
rKPlaDGg_0,0
276LTr2W_0,0
7oDYM03H_0,0
ddMBPE8m_0,0
wOa6B8GH_0,0
M67Rnjqf_0,0
Isgdl44R_0,0
xt4CLQoz_0,0
WePqLE82_0,0
WASoJuT8_0,0
lfPSkPie_0,0
wl0IGecT_0,0
aVSMZDd8_0,0
J1xk1j3o_0,0
1NbBCJf0_0,0
AFO9Naef_0,0
rVXaft8N_0,0
25beFofz_0,0
RoVBkmLG_0,0
tdFZuA6h_0,0
FQX7S5Mw_0,0
E0UMqhpF_0,0
9cPlTurS_0,0
7EFU0Sz5_0,0
6Ne2dM01_0,0
Waf7Cjzs_0,0
dPUJ6zr5_0,0
h92P8D4J_0,0
Bdzl97Ex_0,0
pz04KaLI_0,0
XTtJxvtF_0,0
x823O0Wk_0,0
013K1r9e_0,0
ihhopgho_0,0
6aJXRUqK_0,0
Q7HvHMpG_0,0
6wln22Pb_0,0
Cj2Gxz8U_0,0
7m7PoFfm_0,0
9rMthBWe_0,0
9fCje8iJ_0,0
Av72c6Ys_0,0
teaNmuHQ_0,0
aVmOZn1e_0,0
0HmKTXw5_0,0
hNxCGKvF_0,0
nxoESkr4_0,0
GaI0rNIx_0,0
6XCqQCIf_0,0
8aG8ptZu_0,0
feIdDIBr_0,0
BDnIzyEs_0,0
Svavjwiw_0,0
Xxnv5Xew_0,0
lD8EpXe2_0,0
kHIerpdC_0,0
yZEt8HSW_0,0
b53swxp2_0,0
G7XrIUpl_0,0
49N8cHiQ_0,0
Qu4hONws_0,0
liHcp5Xb_0,0
8Gt98xfc_0,0
LBMTEc8Y_0,0
kEkS45oA_0,0
QtFs0EAq_0,0
WQGrqyjk_0,0
zP9VbwqZ_0,0
G5ems70C_0,0
PeWK96wR_0,0
SuQ6wLaO_0,0
eJl4TFFh_0,0
NSzu6eJl_0,0
rAn3SL5a_0,0
nqpNOWAK_0,0
hd8ctpag_0,0
m5bnzt8K_0,0
thbwYCfP_0,0
31ausNUm_0,0
Rwz5CJFW_0,0
emTyhMGm_0,0
BOkVLKVF_0,0
xJkrD6Kj_0,0
z6gWf4Fo_0,0
sR0jJgO9_0,0
SSMCndoQ_0,0
Q8JPKbk0_0,0
plcpnuPa_0,0
wkYOR127_0,0
PgZ0KTIC_0,0
ODhoMVlm_0,0
QMsIvBKD_0,0
yMrcjn0Y_0,0
HDPHSznf_0,0
2A5yYpZI_0,0
9bYFEZLm_0,0
iBgAMym9_0,0
WkuTDEuC_0,0
inlb25rW_0,0
QZy03qM9_0,0
SXGZ9hRJ_0,0
nmjXHKxu_0,0
7zNau70J_0,0
uerN8QEh_0,0
zVmpCBrZ_0,0
BDd1gO7c_0,0
c5jf6y9q_0,0
C1BLTgD0_0,0
R1Kn8Vpf_0,0
adZgfL1f_0,0
pWPpjj2L_0,0
1k1t1nDP_0,0
UhxxYrrO_0,0
UlDj5l4q_0,0
5XUvRWzU_0,0
XTCmk7pW_0,0
itqQNuHW_0,0
OSdDcbUj_0,0
RBEK6BzW_0,0
nGtv4qy6_0,0
eTcUUEB1_0,0
jjYwAucP_0,0
2CKxU9iW_0,0
aFhx5Jv6_0,0
Gu9A6Ejf_0,0
sMUS1ELo_0,0
AbSarHod_0,0
J8nsK4YA_0,0
hzUch2qy_0,0
Gjgobsbv_0,0
agX3gkyE_0,0
3TqDJhsc_0,0
S57VRpjB_0,0
JHFVG0mE_0,0
OoH6dI2R_0,0
fupyZJwR_0,0
10yTkODg_0,0
HR3V8OWw_0,0
YTGNty8t_0,0
NWxK06ku_0,0
M04n12l3_0,0
ULgpuQl9_0,0
Pc59NGLt_0,0
i2Xa19WA_0,0
Dq8TfsNN_0,0
s9aOQHI2_0,0
HNL63YIW_0,0
qOyHsyOq_0,0
aNdsJu6A_0,0
Y9iwl10k_0,0
qLmAkWb0_0,0
JgnQhHzA_0,0
ppBNHJYI_0,0
J2qb1U34_0,0
1pbVyiTc_0,0
P5fuxOSr_0,0
zpg9Kbaz_0,0
qCjbghV4_0,0
WrHns7Oo_0,0
Hb4QbDMb_0,0
oLoC4x88_0,0
AAtvxW3r_0,0
L03BSkKf_0,0
rezBfFC0_0,0
B17b9PxP_0,0
JiYU7B0y_0,0
TEQw6VN8_0,0
giqUlOV6_0,0
NDisFGMd_0,0
GxYbHBn0_0,0
mjbJw4Lo_0,0
rekxNaaj_0,0
bvnO2ORk_0,0
iHJucs84_0,0
36wd9tVw_0,0
IiSw3UwJ_0,0
gIQEj9rO_0,0
hrdo3Eov_0,0
GqgvXiPc_0,0
J1hjmRkA_0,0
PDlCfkSW_0,0
SXZtsAXy_0,0
i4qCekOI_0,0
jgZKosDl_0,0
gbN5CsyZ_0,0
8xEjcdEa_0,0
0pdB4nlj_0,0
PldRVrQT_0,0
PcQX4s1R_0,0
QCfdZjdl_0,0
8dL9dE89_0,0
Fsqgsv1L_0,0
acSFyyj3_0,0
RTuisEhf_0,0
46DlMXI2_0,0
xC8mqRKd_0,0
nH8xXkCN_0,0
TEHJ9DJM_0,0
vFflu2Bm_0,0
S8owtAgb_0,0
5rQW0aGR_0,0
u6OoHO90_0,0
cnSUswq1_0,0
BV8PBRnt_0,0
QM9tj2uo_0,0
ETuKPElx_0,0
yYbSdKcq_0,0
kCQqTAY8_0,0
scgv8H7y_0,0
jMBSSd77_0,0
wfQNEveq_0,0
ftOj95W6_0,0
QS8nd5Bm_0,0
Zt4OjT8j_0,0
8KidP343_0,0
YN98CCqP_0,0
lJW9aeQK_0,0
TmnpE7fr_0,0
XSpjh0ap_0,0
QE9qKil9_0,0
fvbwJqj3_0,0
s3IAtEXS_0,0
SDFrRKyW_0,0
ciCc5yl3_0,0
WwVlePCk_0,0
HRHKxB1i_0,0
CRlxMtGg_0,0
beC4mqvg_0,0
4ECbI2PJ_0,0
KE4oyrZT_0,0
FePS8Isy_0,0
u25uFXpK_0,0
buvv6rWX_0,0
ghLUFaiV_0,0
jRrkjEaU_0,0
5lCmNyXs_0,0
A7gN1xzo_0,0
RRtKz2IY_0,0
GDElULU4_0,0
dOAu22qH_0,0
TgIqblGu_0,0
qZRN1o6A_0,0
rdgAGVUp_0,0
8AT2cmGh_0,0
LvpV36IT_0,0
Te3FgUCp_0,0
U8ogCDz9_0,0
rCeikSaF_0,0
sZnT596K_0,0
xJjgLHJa_0,0
SN30YFBZ_0,0
Xlj7euyB_0,0
KYqRGXzL_0,0
6GMrhaFc_0,0
uq3iF7cb_0,0
0pRWTxvK_0,0
jjGIhu87_0,0
2HZJvM6A_0,0
q8sprHEX_0,0
vXrUJ0a5_0,0
qF9Fs8HX_0,0
S5d0TBEH_0,0
jQzufuGT_0,0
w0U2ZRmo_0,0
