,index,file_name,seen_value,ncol2,ncol3,width,height,dimensions,closing_ssd,closing_eng,mro_ssd,mro_eng,sub_folder
0,0,.\sipaimages\2\1.jpg,5679,,,818,612,3,4,,5679,619,sipaimages_2
1,1,.\sipaimages\2\10.jpg,2244,,,818,612,3,,,2244,,sipaimages_2
2,2,.\sipaimages\2\11.jpg,2244,,,818,612,3,41,,2244,,sipaimages_2
3,3,.\sipaimages\2\12.jpg,2244,,,818,979,3,,,2244,244,sipaimages_2
4,4,.\sipaimages\2\13.jpg,7244,,,818,734,3,44,,7244,,sipaimages_2
5,5,.\sipaimages\2\14.jpg,7244,,,818,734,3,,,7244,,sipaimages_2
6,6,.\sipaimages\2\15.jpg,1234,,,818,1958,3,,,16.11,7,sipaimages_2
7,7,.\sipaimages\2\16.jpg,1234,,,651,856,3,051,,,,sipaimages_2
8,8,.\sipaimages\2\2.jpg,6543,,,651,856,3,,,1.718,,sipaimages_2
9,9,.\sipaimages\2\22319_20220321100350.jpg,1234,,,818,1591,3,111,,1,34,sipaimages_2
10,10,.\sipaimages\2\22319_20220321100409.jpg,1234,,,818,1591,3,1234,3,1234,234,sipaimages_2
11,11,.\sipaimages\2\22319_20220321101240.jpg,1234,,,818,856,3,1,,,,sipaimages_2
12,12,.\sipaimages\2\22319_20220321113903.jpg,1234,,,818,612,3,,,,,sipaimages_2
13,13,.\sipaimages\2\22319_20220321115131.jpg,1234,,,818,612,3,,,11234,34,sipaimages_2
14,14,.\sipaimages\2\22419_20220321130145.jpg,1234,,,818,612,3,,,098,2,sipaimages_2
15,15,.\sipaimages\2\22420_20220321135314.jpg,4321,,,818,612,3,60,,,,sipaimages_2
16,16,.\sipaimages\2\22420_20220321135751.jpg,4321,,,651,1101,3,,,4321,3,sipaimages_2
17,17,.\sipaimages\2\22420_20220321135814.jpg,4321,,,651,1101,3,,,43211,,sipaimages_2
18,18,.\sipaimages\2\22420_20220321141325.jpg,4321,,,651,1101,3,,,4321,432,sipaimages_2
19,19,.\sipaimages\2\22421_20220321160735.jpg,672,,,818,612,3,1,52,1351,52,sipaimages_2
20,20,.\sipaimages\2\22422_20220321161043.jpg,674,,,818,612,3,,,674,4,sipaimages_2
21,21,.\sipaimages\2\22423_20220321161435.jpg,675,,,818,612,3,,,675,5,sipaimages_2
22,22,.\sipaimages\2\22424_20220321162804.jpg,678,,,818,612,3,,,678,6578,sipaimages_2
23,23,.\sipaimages\2\22424_20220321162822.jpg,678,,,818,612,3,,,678,8,sipaimages_2
24,24,.\sipaimages\2\22424_20220321162938.jpg,678,,,818,612,3,,,678,678,sipaimages_2
