,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,mro_ssd,mro_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\3\\1.jpg'],30.31,50,18,,31,0,,18.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,50,1,,106,135,,1.0
0,['.\\sipaimages\\3\\11.jpg'],20.59,50,1,,1,5,,1.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,50,,,106,1305,,
0,['.\\sipaimages\\3\\13.jpg'],30.31,50,,,31,3,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,50,,,134,134,,
0,['.\\sipaimages\\3\\15.jpg'],30.24,50,12,,,,,12.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,50,1411,,144,1,,1411.0
0,['.\\sipaimages\\3\\17.jpg'],13.03,50,8.0,['.'],143,1303,['.'],8.0
0,['.\\sipaimages\\3\\18.jpg'],30.23,50,,,3.2,,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,50,,,11,36,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,50,1,,1,39,,1.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,50,,,121,,,
0,['.\\sipaimages\\3\\21.jpg'],33.99,50,,,1,,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,50,,,144,1,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,50,4,['.'],11.2,0.2,['.'],4.0
0,['.\\sipaimages\\3\\24.jpg'],30.24,50,,,1124,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,50,1.4,,9,19,,1.4
0,['.\\sipaimages\\3\\26.jpg'],3.75,50,,,1,1,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,50,,,144,1304,,
0,['.\\sipaimages\\3\\4.jpg'],13.05,50,11,,146,,,11.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,50,['.'],,101,2,,['.']
0,['.\\sipaimages\\3\\6.jpg'],13.04,50,,,,,,
0,['.\\sipaimages\\3\\7.jpg'],13.04,50,,,1.4,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,50,7,,931,,,7
0,['.\\sipaimages\\3\\9.jpg'],13.04,50,,,14,10,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,51,71,,931,,,71
0,['.\\sipaimages\\3\\10.jpg'],13.05,51,16.0,,146,1345,,16.0
0,['.\\sipaimages\\3\\11.jpg'],20.59,51,6,,9,,,6
0,['.\\sipaimages\\3\\12.jpg'],13.05,51,65,,14,135,,65
0,['.\\sipaimages\\3\\13.jpg'],30.31,51,,,1,3,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,51,7418,,134,1304,,7418
0,['.\\sipaimages\\3\\15.jpg'],30.24,51,14,,4,2,,14
0,['.\\sipaimages\\3\\16.jpg'],13.04,51,1,,14,130,,1
0,['.\\sipaimages\\3\\17.jpg'],13.03,51,8.0,,13,1303,,8.0
